features_avg,class_avg,avg_rank,split_rank_avg,gain_rank_avg,feature_split,class_split,split,feature_gain,class_gain,gain
flag_pool_type_7,4,67.0,67,67,flag_pool_type_7,4,19,flag_pool_type_7,4,7.876222074935562
num_garage,2,68.0,68,68,num_garage,2,18,num_garage,2,6.245091175704011
dollar_taxvalue_total_per_area_pool,new,69.0,69,69,dollar_taxvalue_total_per_area_pool,new,17,dollar_taxvalue_total_per_area_pool,new,3.2413570547456043
type_deck,4,70.5,70,71,type_deck,4,14,area_living_type_6,4,2.9165842132915536
dollar_taxvalue_land_per_area_pool,new,72.0,72,72,type_pool_assessor,4,12,type_deck,4,2.7860967377342236
type_pool_assessor,4,72.5,71,74,dollar_taxvalue_land_per_area_pool,new,11,dollar_taxvalue_land_per_area_pool,new,2.702913342164543
area_living_type_6,4,72.5,75,70,dollar_taxvalue_structure_per_area_pool,new,10,code_fips,1,2.594858718430882
code_fips,1,73.5,74,73,code_fips,1,9,type_pool_assessor,4,2.028831723407983
dollar_taxvalue_structure_per_area_pool,new,74.0,73,75,area_living_type_6,4,6,dollar_taxvalue_structure_per_area_pool,new,1.9562356064195698
dollar_tax_per_area_pool,new,76.0,76,76,dollar_tax_per_area_pool,new,3,dollar_tax_per_area_pool,new,0.4871173477234282
type_building_framing,4,77.0,77,77,type_building_framing,4,0,type_building_framing,4,0.0
type_architectural_style,4,78.5,78,79,type_architectural_style,4,0,area_base_finished,4,0.0
area_base_finished,4,78.5,79,78,area_base_finished,4,0,type_architectural_style,4,0.0
area_yard_storage,4,81.0,81,81,flag_fireplace,4,0,area_living_type_13,4,0.0
flag_fireplace,4,81.5,80,83,area_yard_storage,4,0,area_yard_storage,4,0.0
area_living_type_13,4,82.0,84,80,raw_census,3,0,type_construction,4,0.0
type_construction,4,82.5,83,82,type_construction,4,0,flag_fireplace,4,0.0
raw_census,3,83.5,82,85,area_living_type_13,4,0,type_story,4,0.0
type_story,4,84.5,85,84,type_story,4,0,raw_census,3,0.0
code_county,4,86.0,86,86,code_county,4,0,code_county,4,0.0
