l1-mean,l1-stdv,n_rounds,num_leaves,min_data_in_leaf,learning_rate
0.05679842044959403,0.0003774467369580264,7315,78,323,0.002879644199565614
0.05680131238906664,0.00037830048776970547,7289,77,296,0.002755258910169332
0.05680187762167689,0.000371430461022144,9520,69,231,0.0021031329902715654
0.05680350788389864,0.0003744781725943699,7431,73,333,0.002732303716912052
0.056804369705957106,0.00037986575436468553,12000,79,417,0.0014020842941474356
0.05680610530683187,0.00037764143450411277,7604,75,461,0.0027260869096907003
0.05680614314581284,0.0003801782958960587,8319,79,449,0.002506351061454841
0.05680698724626319,0.0003800332609652106,8885,39,402,0.004042110629210381
0.056807019824624196,0.00037345874608431793,3520,76,168,0.006206987869176335
0.056807470318806584,0.0003773053017704063,12000,61,498,0.0017644044304826855
0.056808315739085936,0.0003869529488627603,3085,70,216,0.007083939195894468
0.0568084860704086,0.0003791857131998592,5955,51,360,0.004813971137364492
0.05680867659504306,0.0003754170516106089,5955,73,576,0.00349685346536564
0.05680898993667492,0.0003781289778464675,7300,59,500,0.003238565258018265
0.05680973367615475,0.0003784058599814353,2903,58,285,0.008375452099602616
0.05681005044002767,0.0003774305635447691,7925,68,502,0.002547400824931624
0.05681057547727196,0.00037744239585035566,12000,68,360,0.0013327274065588954
0.05681084763603463,0.00037561373070734593,12000,60,285,0.0015386982564468176
0.05681096829493991,0.0003797165814507634,3245,65,404,0.00652845816345351
0.05681112792441587,0.0003780850415682765,10611,73,595,0.0020100100936772114
0.056811206068471024,0.00037871030727190327,8405,68,499,0.0023626938951424566
0.05681142323563879,0.0003787809637578682,5287,77,521,0.003677185470584851
0.056812048589269956,0.000380286771356834,3492,77,372,0.004628907119006952
0.056812078492437856,0.0003748067183910357,5715,54,167,0.004100167614180423
0.056812091863743364,0.0003715784115138929,12000,74,192,0.0012517088195041705
0.05681248824620505,0.00037011426026468757,4240,51,244,0.006596419872624324
0.05681321949429694,0.0003778288977025726,6417,51,567,0.003643642143482804
0.05681325773984711,0.0003793913060476306,9537,34,375,0.00364209906972756
0.05681349009955204,0.0003755871958297894,7172,59,565,0.0032942932331365294
0.056814099516230177,0.0003790371163149546,6618,43,550,0.004521281662502636
0.056814812291473615,0.0003777893728756867,8396,36,375,0.004092011533856457
0.05681540905548878,0.0003742438788355986,4041,48,163,0.006707461038429622
0.05681661335135019,0.00037279107869653033,2296,79,222,0.007130894105377865
0.056816746173271836,0.00038060706380401885,1675,63,200,0.011863870704718445
0.05681732790299383,0.0003743834119119818,12000,60,453,0.00145405752975717
0.056818128336375694,0.0003716735055824262,9602,35,233,0.003133955876833023
0.05682166144750528,0.0003733514115762177,9608,33,210,0.0033624131090469584
0.056822005979345704,0.0003822433058588376,5060,48,553,0.0050089113191737564
0.056823217921157576,0.00037828107838583564,2527,46,474,0.010832437580156
0.05682377042641688,0.00037526282690865067,8914,33,311,0.003573301357381299
0.05682382812957955,0.0003817788285030392,12000,34,532,0.0024690047633040136
0.056824362667896686,0.0003733691924569839,12000,44,147,0.0018954113411400668
0.05682437522171282,0.00038378504615868146,2625,56,492,0.010005412501180228
0.05682463072003352,0.0003793475573514026,2995,43,311,0.008078433022559275
0.05682526185020009,0.00037360763776234654,2132,68,473,0.01067454918315806
0.05682540406352247,0.00037987025332341116,2037,64,543,0.010096289076809225
0.05682573692746201,0.0003860607087731979,1994,74,527,0.009559760523330543
0.05682638243336059,0.00037583473417581993,12000,72,260,0.001034867055610833
0.056827080779495796,0.00037989879948956026,2233,51,219,0.008998862126407534
0.056827160174644745,0.0003800141060671221,2650,66,519,0.008045068515717735
0.05682738140453665,0.00037233990629450175,12000,35,135,0.002373312748120685
0.0568287104166559,0.000387689052334519,1217,64,368,0.018240140054557256
0.056828868869275295,0.0003712491549180071,12000,69,306,0.0010537348190337893
0.05683030852178446,0.000369999343432629,2279,32,183,0.01403113666175569
0.056830967089326646,0.00037849333833069493,12000,51,534,0.0014282153415240213
0.05683288435621943,0.0003820598119458902,1220,57,256,0.020569211201439012
0.056836817498385914,0.00036928045751305656,1628,53,583,0.01700986508968424
0.05683760577820453,0.00037136722565623073,1195,73,453,0.01750845132514354
0.05683866896002582,0.0003799888653469241,1404,57,581,0.01816761148983013
0.056838758599828385,0.0003754228295700661,12000,50,409,0.0012359963489458458
0.05683885858126849,0.00037485457924112396,1721,63,569,0.013950518004633487
0.05683917316427374,0.0003811855450792455,857,50,399,0.033506430700536244
0.05684055318115788,0.0003731800467263215,1090,71,431,0.01931340035713382
0.05684143919633433,0.00037772028351752517,821,72,516,0.02251138389753192
0.056850528409469546,0.0003709234015648636,12000,30,352,0.0018356627928433373
0.05685061375446434,0.00038653064758703993,1194,43,441,0.028280221951635858
0.05685179920741733,0.00038021548445569593,927,30,561,0.0460733073792035
0.05685187895893268,0.00037873574179028913,953,74,575,0.02055544771838593
0.05685224342607324,0.00037424254034301583,613,71,269,0.030485322826606504
0.05685281366333923,0.0003736775428180664,536,70,193,0.02983726855326194
0.05685283439221549,0.0003603672668221088,766,72,595,0.025070453579198404
