trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.3, 'e': 0.9389434736891332}",20,0,-117.83790832680728,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
43,False,"{'a': 0.3, 'e': 0.9375361142620497}",25,0,-156.98293258968258,"{0: 10, 1: 1, 2: 12, 3: 2, 4: 0}",0
44,False,"{'a': 0.3, 'e': 0.9361308642916188}",25,0,-74.07743207903243,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
45,False,"{'a': 0.3, 'e': 0.9347277206160275}",20,0,-50.683847806411066,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",1
46,False,"{'a': 0.3, 'e': 0.933326680078202}",30,0,-187.16905746379618,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
47,False,"{'a': 0.3, 'e': 0.9319277395258003}",25,1,-159.3323836135593,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 3}",1
48,False,"{'a': 0.3, 'e': 0.9305308958112057}",35,0,-208.99481617364225,"{0: 21, 1: 2, 2: 8, 3: 1, 4: 3}",0
49,False,"{'a': 0.3, 'e': 0.9291361457915193}",20,6,-59.956504943677565,"{0: 6, 1: 2, 2: 6, 3: 0, 4: 0}",1
50,False,"{'a': 0.3, 'e': 0.9277434863285529}",30,0,-186.29199872180425,"{0: 16, 1: 1, 2: 10, 3: 1, 4: 2}",0
51,False,"{'a': 0.3, 'e': 0.9263529142888222}",25,0,-93.8350690180628,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
52,False,"{'a': 0.3, 'e': 0.9249644265435393}",25,0,-105.57717857471098,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
53,False,"{'a': 0.3, 'e': 0.9235780199686064}",20,0,-92.5335155942448,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
54,False,"{'a': 0.3, 'e': 0.922193691444608}",20,0,-156.51753451413543,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
55,False,"{'a': 0.3, 'e': 0.9208114378568045}",25,0,-188.70597223356876,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 3}",0
56,False,"{'a': 0.3, 'e': 0.9194312560951247}",25,0,-75.55634181547033,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
57,False,"{'a': 0.3, 'e': 0.9180531430541589}",20,0,-96.29476102924886,"{0: 8, 1: 3, 2: 9, 3: 0, 4: 0}",0
58,False,"{'a': 0.3, 'e': 0.9166770956331523}",20,0,-42.244924153444146,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
59,False,"{'a': 0.3, 'e': 0.9153031107359976}",20,0,-108.80498921984875,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
60,False,"{'a': 0.3, 'e': 0.9139311852712282}",25,0,-35.258138040720624,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
61,False,"{'a': 0.3, 'e': 0.9125613161520112}",25,0,-95.98148321168334,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
62,False,"{'a': 0.3, 'e': 0.9111935002961405}",25,0,-190.73700858740875,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
63,False,"{'a': 0.3, 'e': 0.90982773462603}",30,0,-59.97476817594688,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
64,False,"{'a': 0.3, 'e': 0.9084640160687062}",25,0,-85.07141245603331,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
65,False,"{'a': 0.3, 'e': 0.9071023415558017}",20,0,-54.28820083357897,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.3, 'e': 0.9057427080235485}",30,0,-156.81700237900586,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
67,False,"{'a': 0.3, 'e': 0.9043851124127704}",20,0,-66.7104888569852,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
68,False,"{'a': 0.3, 'e': 0.9030295516688768}",20,0,-68.28677877571634,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
69,False,"{'a': 0.3, 'e': 0.9016760227418554}",25,0,-114.17938943065134,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
70,False,"{'a': 0.3, 'e': 0.9003245225862656}",30,0,-147.1538345220675,"{0: 18, 1: 2, 2: 8, 3: 0, 4: 2}",0
71,False,"{'a': 0.3, 'e': 0.8989750481612314}",30,0,-95.51343349859451,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
72,False,"{'a': 0.3, 'e': 0.8976275964304349}",20,0,-60.67068687640801,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
73,False,"{'a': 0.3, 'e': 0.896282164362109}",20,0,11.622289260747955,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
74,False,"{'a': 0.3, 'e': 0.894938748929031}",25,0,-28.050681264841185,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
75,False,"{'a': 0.3, 'e': 0.8935973471085157}",30,12,-89.8596526567475,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 1}",1
76,False,"{'a': 0.3, 'e': 0.8922579558824083}",35,0,-132.63961740793465,"{0: 23, 1: 4, 2: 6, 3: 0, 4: 2}",0
77,False,"{'a': 0.3, 'e': 0.8909205722370781}",25,0,-63.57942647936055,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
78,False,"{'a': 0.3, 'e': 0.8895851931634113}",25,4,-101.27051939115405,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 1}",1
79,False,"{'a': 0.3, 'e': 0.8882518156568044}",30,14,-102.68880220535755,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 2}",1
80,False,"{'a': 0.3, 'e': 0.8869204367171575}",25,0,-107.16808811648647,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
81,False,"{'a': 0.3, 'e': 0.8855910533488673}",20,0,-78.4206502696953,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
82,False,"{'a': 0.3, 'e': 0.8842636625608209}",25,0,-37.20338680728994,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
83,False,"{'a': 0.3, 'e': 0.8829382613663882}",20,0,-38.89807997411787,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
84,False,"{'a': 0.3, 'e': 0.8816148467834161}",25,9,-96.73758517231664,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 2}",1
85,False,"{'a': 0.3, 'e': 0.8802934158342212}",25,0,-112.26008697764965,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
86,False,"{'a': 0.3, 'e': 0.8789739655455832}",20,0,-46.00615768316407,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
87,False,"{'a': 0.3, 'e': 0.8776564929487385}",25,0,-47.65670310277067,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
88,False,"{'a': 0.3, 'e': 0.8763409950793732}",20,0,-138.9974524379485,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
89,False,"{'a': 0.3, 'e': 0.8750274689776166}",25,0,-25.283246871230432,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
90,False,"{'a': 0.3, 'e': 0.8737159116880344}",20,0,-50.85907181286316,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
91,False,"{'a': 0.3, 'e': 0.8724063202596221}",20,0,-7.402487984053659,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
92,False,"{'a': 0.3, 'e': 0.8710986917457983}",30,0,-214.4943267841161,"{0: 18, 1: 3, 2: 4, 3: 1, 4: 4}",0
93,False,"{'a': 0.3, 'e': 0.8697930232043986}",20,0,-50.86161233831343,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
94,False,"{'a': 0.3, 'e': 0.8684893116976679}",20,0,-50.96160318144567,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
95,False,"{'a': 0.3, 'e': 0.8671875542922549}",25,6,-112.58620467451038,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 2}",1
96,False,"{'a': 0.3, 'e': 0.865887748059205}",20,0,-76.98557091588182,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
97,False,"{'a': 0.3, 'e': 0.8645898900739535}",25,0,-144.67255416463308,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
98,False,"{'a': 0.3, 'e': 0.8632939774163194}",20,0,-119.98422547254951,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
99,False,"{'a': 0.3, 'e': 0.8620000071704987}",20,0,-77.84311989290508,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
100,False,"{'a': 0.3, 'e': 0.8607079764250578}",20,1,-124.80692517509021,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 1}",1
101,False,"{'a': 0.3, 'e': 0.8594178822729269}",20,0,-69.67034426981587,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
102,False,"{'a': 0.3, 'e': 0.8581297218113938}",20,0,-47.599971999919816,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
103,False,"{'a': 0.3, 'e': 0.8568434921420968}",25,0,-50.299798008679176,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
104,False,"{'a': 0.3, 'e': 0.8555591903710185}",20,0,-111.66025214523928,"{0: 8, 1: 5, 2: 6, 3: 0, 4: 1}",0
105,False,"{'a': 0.3, 'e': 0.8542768136084795}",20,0,-37.123680992118096,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
106,False,"{'a': 0.3, 'e': 0.8529963589691315}",30,0,-134.30643298134885,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
107,False,"{'a': 0.3, 'e': 0.851717823571951}",25,0,-36.27874710970884,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
108,False,"{'a': 0.3, 'e': 0.850441204540233}",20,0,-29.711396855945644,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
109,False,"{'a': 0.3, 'e': 0.8491664990015839}",25,0,-143.291430457634,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
110,False,"{'a': 0.3, 'e': 0.8478937040879159}",20,0,-201.80492818250318,"{0: 8, 1: 3, 2: 4, 3: 2, 4: 3}",0
111,False,"{'a': 0.3, 'e': 0.8466228169354396}",30,0,-194.7436855496064,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 4}",0
112,False,"{'a': 0.3, 'e': 0.8453538346846587}",20,0,-162.33951516451535,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
113,False,"{'a': 0.3, 'e': 0.8440867544803625}",25,13,-27.59405951596627,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 0}",1
114,False,"{'a': 0.3, 'e': 0.8428215734716199}",20,0,-58.18987164567599,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
115,False,"{'a': 0.3, 'e': 0.8415582888117732}",20,5,-120.30349638751042,"{0: 6, 1: 6, 2: 0, 3: 1, 4: 2}",1
116,False,"{'a': 0.3, 'e': 0.8402968976584314}",30,0,-107.82070770313142,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
117,False,"{'a': 0.3, 'e': 0.8390373971734638}",30,0,-104.64896188010579,"{0: 16, 1: 4, 2: 10, 3: 0, 4: 0}",0
118,False,"{'a': 0.3, 'e': 0.8377797845229938}",25,7,-76.06796209802576,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
119,False,"{'a': 0.3, 'e': 0.8365240568773925}",25,3,-131.10462324828245,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 2}",1
120,False,"{'a': 0.3, 'e': 0.835270211411272}",30,0,-149.9222645967024,"{0: 17, 1: 2, 2: 8, 3: 2, 4: 1}",0
121,False,"{'a': 0.3, 'e': 0.8340182453034796}",20,0,-96.63550176594998,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
122,False,"{'a': 0.3, 'e': 0.832768155737091}",30,0,-73.43677545203215,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
123,False,"{'a': 0.3, 'e': 0.8315199398994041}",20,0,-31.760411944556637,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
124,False,"{'a': 0.3, 'e': 0.8302735949819326}",20,0,-105.53294529897623,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
125,False,"{'a': 0.3, 'e': 0.8290291181804004}",20,0,-161.89507704015546,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
126,False,"{'a': 0.3, 'e': 0.8277865066947336}",20,11,-11.33701670512353,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.3, 'e': 0.8265457577290563}",20,0,-85.04616296056119,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
128,False,"{'a': 0.3, 'e': 0.8253068684916823}",20,4,-112.9516573157799,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 3}",1
129,False,"{'a': 0.3, 'e': 0.8240698361951109}",25,0,-113.61400954511961,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
130,False,"{'a': 0.3, 'e': 0.8228346580560184}",25,12,-67.11475779499227,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
131,False,"{'a': 0.3, 'e': 0.8216013312952537}",25,0,-64.78216827314161,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
132,False,"{'a': 0.3, 'e': 0.8203698531378311}",25,0,-98.71637621324368,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
